r,φ,x,y,timestamp,J_t_ABS_Schw,J_r_ABS_Schw,J_φ_ABS_Schw,J_t_SCATT_Schw,J_r_SCATT_Schw,J_φ_SCATT_Schw,J_X_TOTAL_Schw,J_Y_TOTAL_Schw,n
7,2.14951076298249,-3.828637106856987,5.8601653478377,2024-09-10T12:52:01.368,-3.1484692426959926,-3.614417903843963,3.1285324548419595,-19.235186157235784,2.948504413748264,98.99299034400417,-11.849024928311358,-8.536791708400397,0.9663955441588462
8,2.14951076298249,-4.375585264979414,6.697331826100229,2024-09-10T12:52:02.867,-2.630794085443325,-2.915974570597817,2.2156893319863893,-20.36853195886873,3.774117281965558,112.67370638749398,-12.492053425912198,-7.13640961054866,0.9764434974911006
9,2.14951076298249,-4.92253342310184,7.534498304362758,2024-09-10T12:52:04.311,-2.271003824001643,-2.4465006606906488,1.6622725133470633,-21.173946505916746,4.350176013799566,125.33466847008712,-12.85427637618107,-6.124167137557282,0.9825788608757725
10,2.14951076298249,-5.469481581224267,8.371664782625286,2024-09-10T12:52:05.677,-2.004258098808335,-2.1090165194477266,1.2985754773684604,-21.776343386089383,4.76810074086348,137.41657258224362,-13.067148415468822,-5.36090330044237,0.98650327237454
11,2.14951076298249,-6.016429739346694,9.208831260887814,2024-09-10T12:52:07.089,-1.7974298667971156,-1.8545064585140416,1.0453806480106367,-22.24506891012421,5.082464477804799,149.15091073134434,-13.19637117516098,-4.7658058372617536,0.9891288848163312
12,2.14951076298249,-6.56337789746912,10.045997739150344,2024-09-10T12:52:08.547,-1.6317062957349526,-1.6555689109519087,0.861325950641006,-22.621212827656585,5.326380267915912,160.66683807172683,-13.276573861741161,-4.289214100335295,0.9909574938979382
13,2.14951076298249,-7.110326055591547,10.883164217412872,2024-09-10T12:52:09.995,-1.4955456804266365,-1.4956914809869883,0.7229502939778595,-22.930527531113853,5.52063582169033,172.0402345034342,-13.32693950832897,-3.899105806960606,0.9922766420753264
14,2.14951076298249,-7.657274213713974,11.7203306956754,2024-09-10T12:52:11.443,-1.3814388736565786,-1.3643295515241303,0.6160714388152525,-23.189939121999046,5.6787632633975536,183.31767532980805,-13.358569216044769,-3.5739738674234656,0.9932580383621635
15,2.14951076298249,-8.204222371836401,12.55749717393793,2024-09-10T12:52:12.883,-1.284269975198213,-1.2544315667860575,0.5316723710213859,-23.41102841643143,5.809876622438994,194.52883117905245,-13.378133269626007,-3.2988663151169795,0.9940081933492811
16,2.14951076298249,-8.751170529958827,13.394663652200459,2024-09-10T12:52:14.163,-1.2004219439968586,-1.1611014590238626,0.4637801153060794,-23.60199291341433,5.92030547345608,205.693209545813,-13.389770432560285,-3.063078047105721,0.9945954637283989
17,2.14951076298249,-9.298118688081253,14.231830130462987,2024-09-10T12:52:15.596,-1.1272583965894798,-1.0808322055911372,0.40830129368769713,-23.768805356690024,6.014566859340173,216.82398264679918,-13.39611979396712,-2.8587484755907298,0.9950650680443993
18,2.14951076298249,-9.84506684620368,15.068996608725516,2024-09-10T12:52:17.051,-1.0628082234260485,-1.0110449358658695,0.3623491912516404,-23.91592692523042,6.095962876318856,227.9302602888472,-13.398904273502062,-2.6799783926538288,0.995447738701902
19,2.14951076298249,-10.392015004326108,15.906163086988045,2024-09-10T12:52:18.541,-1.0055655678942241,-0.9498002887841213,0.3238375038937467,-24.046761412984573,6.166959250080118,239.0184623120466,-13.399270760100393,-2.522255197684154,0.9957648668783352
20,2.14951076298249,-10.938963162448534,16.743329565250573,2024-09-10T12:52:19.997,-0.9543585172211245,-0.8956113177618431,0.2912262435206102,-24.16395482859626,6.229432288289863,250.09319820807582,-13.397995897081731,-2.382068871237464,0.9960316741268561
21,2.14951076298249,-11.48591132057096,17.5804960435131,2024-09-10T12:52:21.447,-0.9082602673414761,-0.8473185244877204,0.26335742193246914,-24.26959748033106,6.284833880882507,261.1578249142322,-13.39561284511365,-2.256648426824385,0.9962591948563648
22,2.14951076298249,-12.032859478693387,18.41766252177563,2024-09-10T12:52:22.900,-0.8665274660146305,-0.8040042094382536,0.23934599127029274,-24.365364731644863,6.33430445697736,272.2148213813267,-13.392491888222176,-2.143777336997899,0.9964555819692467
23,2.14951076298249,-12.579807636815815,19.25482900003816,2024-09-10T12:52:24.392,-0.8285564383258044,-0.7649324105450481,0.21850564323787086,-24.452616341036588,6.378751924032912,283.266039063004,-13.388892500915698,-2.0416615136507597,0.9966269503232479
24,2.14951076298249,-13.12675579493824,20.09199547830069,2024-09-10T12:52:25.879,-0.7938514840604565,-0.7295059262368642,0.2002972412823311,-24.532468478103013,6.418907855254482,294.3128741684997,-13.384997677188355,-1.9488332838882343,0.9967779563174389
25,2.14951076298249,-13.673703953060667,20.929161956563217,2024-09-10T12:52:27.372,-0.7620015083887427,-0.6972350039353645,0.18429229249645043,-24.60584683513011,6.455368229956258,305.35639130932657,-13.380937084470222,-1.8640804509050053,0.9969121997181357
26,2.14951076298249,-14.220652111183094,21.766328434825745,2024-09-10T12:52:28.862,-0.7326625209313887,-0.6677141555709991,0.1701466266014991,-24.673525786443964,6.488623407030985,316.39740319923595,-13.376802548295137,-1.7863929131529828,0.9970324843457221
27,2.14951076298249,-14.767600269305522,22.603494913088273,2024-09-10T12:52:30.353,-0.705544341942354,-0.6406047382932718,0.1575811347561353,-24.7361589902134,6.519080508687466,327.4365418555926,-13.372659207900416,-1.7149224077216711,0.9971410370735849
28,2.14951076298249,-15.314548427427948,23.4406613913508,2024-09-10T12:52:31.857,-0.6804003735448468,-0.6156216923307333,0.14636747536829,-24.794301938184564,6.547080356485465,338.4742939158497,-13.368552768617818,-1.6489511766742702,0.9972396317641173
5,2.4802047265182576,-3.945702546981967,3.0710635634483396,2024-09-10T12:52:33.349,-4.38933511526277,-5.489712005223675,4.874759238858432,-11.808895700066588,-0.05580800067317557,41.44288235954755,-1.3135823759876182,-10.716354343097864,0.7981126876888569
6,2.4802047265182576,-4.734843056378361,3.6852762761380076,2024-09-10T12:52:34.994,-3.2033276135929984,-3.792190367466557,2.6950538882543484,-14.012173960256149,1.7294157714081593,53.68982391609862,-4.144232462977717,-8.682914245775779,0.822159553915795
7,2.4802047265182576,-5.5239835657747545,4.299488988827676,2024-09-10T12:52:36.546,-2.5644378858377994,-2.902412637854553,1.7459057707555439,-15.732210129474854,3.164826693603243,64.8846882836719,-6.053561264811143,-7.3503792271842965,0.8503028957273698
8,2.4802047265182576,-6.313124075171148,4.913701701517343,2024-09-10T12:52:38.045,-2.1564908050883766,-2.3546272067887966,1.2372246705843837,-17.065104148012793,4.255054600851254,75.22684277343622,-7.37035452783101,-6.375344976684966,0.8731002021377049
9,2.4802047265182576,-7.102264584567541,5.527914414207011,2024-09-10T12:52:39.467,-1.8696910209221076,-1.9830168267467725,0.9288895384214976,-18.111225201105075,5.0859927348505725,84.94466527364095,-8.30919832759041,-5.623701726525111,0.8906820858552674
10,2.4802047265182576,-7.891405093963934,6.142127126896679,2024-09-10T12:52:40.810,-1.6552549768455465,-1.7140521931631538,0.7261566586161405,-18.94820443252272,5.731100542073064,94.22568458689105,-9.002078378956876,-5.025712273470994,0.9043047548499253
11,2.4802047265182576,-8.680545603360327,6.756339839586348,2024-09-10T12:52:42.249,-1.4879266130760844,-1.5101670088196157,0.584927940420963,-19.630978296300658,6.242602118752658,103.20248047228448,-9.529787677355964,-4.53899167929419,0.9150419057617808
12,2.4802047265182576,-9.469686112756722,7.370552552276015,2024-09-10T12:52:43.670,-1.3531956362010409,-1.3501662075651137,0.48219744012361937,-20.19786187158898,6.656349837316558,111.96499962457791,-9.942865947821193,-4.135594423060457,0.9236681316733831
13,2.4802047265182576,-10.258826622153116,7.984765264965683,2024-09-10T12:52:45.075,-1.2420722791599157,-1.2211790319508868,0.4049159131886554,-20.675852089728647,6.997059830054744,120.5740800804097,-10.273892077359335,-3.796182627182346,0.9307250543739776
14,2.4802047265182576,-11.047967131549509,8.598977977655352,2024-09-10T12:52:46.466,-1.1486594889634092,-1.1149336476302978,0.34519237899443594,-21.084321684673668,7.2820562146983905,129.0713282019852,-10.544531399293376,-3.5069191311330883,0.9365929007327767
15,2.4802047265182576,-11.837107640945902,9.21319069034502,2024-09-10T12:52:47.844,-1.0689119004420229,-1.02586871627797,0.29800737995058774,-21.437455538710118,7.523729137394212,137.48566190662163,-10.769623634495774,-3.2576431885546855,0.941542643711634
16,2.4802047265182576,-12.626248150342295,9.827403403034687,2024-09-10T12:52:49.081,-0.9999527036800692,-0.9501054297963469,0.2600342399719869,-21.74584626819703,7.731122626363452,145.83753340666271,-10.959611823574779,-3.040732342541191,0.9457709480207194
17,2.4802047265182576,-13.415388659738689,10.441616115724354,2024-09-10T12:52:50.449,-0.939674695880737,-0.8848547837695484,0.22899195327483576,-22.017550238438677,7.910967316006276,154.14165757262032,-11.122026223057794,-2.850362538542421,0.9494232181910849
